brand,website,niche,google_rank,indexed,sitemap,schema_count,blog_posts,ai_cited_chatgpt,ai_cited_perplexity,seo_score,geo_score,leak,found_at,day_found
SEO_Brand_0431,seobrand0431.com,Coach,Page 2,58%,No,0,15,No,No,6,9,Thin blog,2026-09-10T09:38:09.021400,2
SEO_Brand_2497,seobrand2497.com,Coach,Page 3,47%,Yes but blocked,2,11,No,No,7,7,Thin blog,2026-09-10T09:38:09.021429,2
SEO_Brand_0423,seobrand0423.com,D2C,Page 2,21%,No,1,14,No,No,10,10,No sitemap,2026-09-10T09:38:09.021432,2
SEO_Brand_2386,seobrand2386.com,Real Estate,Page 3,47%,No,0,2,No,No,10,9,No sitemap,2026-09-10T09:38:09.021434,2
SEO_Brand_1249,seobrand1249.com,Clinic,Page 3,31%,No,2,6,No,No,8,10,No FAQ schema,2026-09-10T09:38:09.021436,2
SEO_Brand_0027,seobrand0027.com,Clinic,Page 3,56%,Yes but blocked,2,3,No,No,7,8,Not cited in AI,2026-09-10T09:38:09.021437,2
SEO_Brand_1828,seobrand1828.com,Coach,Page 2,43%,No,2,10,No,No,7,10,Thin blog,2026-09-10T09:38:09.021439,2
SEO_Brand_2961,seobrand2961.com,Real Estate,Page 2,23%,Yes but blocked,0,4,No,No,10,10,Not cited in AI,2026-09-10T09:38:09.021440,2
SEO_Brand_1587,seobrand1587.com,Coach,Page 2,59%,No,0,4,No,No,10,10,No sitemap,2026-09-10T09:38:09.021442,2
SEO_Brand_0889,seobrand0889.com,D2C,Page 3,49%,Yes but blocked,2,11,No,No,9,10,No FAQ schema,2026-09-10T09:38:09.021443,2
SEO_Brand_1487,seobrand1487.com,Real Estate,Page 2,54%,No,0,10,No,No,10,9,Thin blog,2026-09-10T09:38:09.021444,2
SEO_Brand_0032,seobrand0032.com,Clinic,Page 2,37%,No,2,0,No,No,9,8,No FAQ schema,2026-09-10T09:38:09.021445,2
SEO_Brand_2392,seobrand2392.com,Real Estate,Page 3,60%,Yes but blocked,1,9,No,No,8,9,Not cited in AI,2026-09-10T09:38:09.021447,2
SEO_Brand_0575,seobrand0575.com,Coach,Page 2,30%,No,2,2,No,No,9,9,No sitemap,2026-09-10T09:38:09.021448,2
SEO_Brand_2032,seobrand2032.com,Coach,Page 3,45%,No,2,1,No,No,8,10,Not cited in AI,2026-09-10T09:38:09.021449,2
SEO_Brand_0053,seobrand0053.com,Coach,Page 3,28%,Yes but blocked,0,6,No,No,10,8,Not cited in AI,2026-09-10T09:38:09.021450,2
SEO_Brand_1485,seobrand1485.com,Coach,Page 3,30%,No,1,0,No,No,9,8,No sitemap,2026-09-10T09:38:09.021452,2
SEO_Brand_2593,seobrand2593.com,Real Estate,Page 2,59%,Yes but blocked,0,7,No,No,8,10,No FAQ schema,2026-09-10T09:38:09.021453,2
SEO_Brand_0409,seobrand0409.com,Clinic,Page 2,55%,Yes but blocked,0,15,No,No,9,7,No sitemap,2026-09-10T09:38:09.021454,2
SEO_Brand_0729,seobrand0729.com,D2C,Page 2,56%,Yes but blocked,1,1,No,No,8,10,No FAQ schema,2026-09-10T09:38:09.021455,2
SEO_Brand_2819,seobrand2819.com,D2C,Page 3,21%,Yes but blocked,2,14,No,No,7,8,Thin blog,2026-09-10T09:38:09.021457,2
SEO_Brand_2044,seobrand2044.com,D2C,Page 3,37%,Yes but blocked,2,7,No,No,8,7,Thin blog,2026-09-10T09:38:09.021458,2
SEO_Brand_1014,seobrand1014.com,D2C,Page 3,55%,Yes but blocked,1,15,No,No,9,10,No sitemap,2026-09-10T09:38:09.021459,2
SEO_Brand_2422,seobrand2422.com,Coach,Page 3,55%,Yes but blocked,2,2,No,No,10,9,No sitemap,2026-09-10T09:38:09.021460,2
SEO_Brand_2812,seobrand2812.com,Coach,Page 2,35%,Yes but blocked,0,10,No,No,10,7,No FAQ schema,2026-09-10T09:38:09.021462,2
SEO_Brand_0812,seobrand0812.com,Coach,Page 2,51%,No,0,8,No,No,9,10,Not cited in AI,2026-09-10T09:38:09.021465,2
